date,open,high,low,close,adj_close,volume
2012-01-03,65.589996,66.000000,65.250000,65.879997,43.472504,16116200
2012-01-04,65.750000,65.879997,65.110001,65.480003,43.208553,9243100
2012-01-05,65.320000,65.599998,64.830002,65.400002,43.155781,11886900
2012-01-06,65.440002,65.459999,64.610001,64.830002,42.779640,15359900
2012-01-09,64.959999,65.089996,64.410004,64.930000,42.845627,7934600
2012-01-10,65.110001,65.400002,65.000000,65.199997,43.023792,8476600
2012-01-11,65.110001,65.540001,64.839996,65.129997,42.977581,6784600
2012-01-12,65.279999,65.410004,64.930000,65.230003,43.043591,7402900
2012-01-13,64.970001,65.279999,64.360001,65.260002,43.063370,8978800
2012-01-17,65.540001,65.690002,64.500000,65.120003,42.971008,8359900
2012-01-18,65.260002,65.370003,65.000000,65.279999,43.076588,8095600
2012-01-19,65.160004,65.250000,64.790001,65.190002,43.017197,11699800
2012-01-20,65.279999,65.550003,64.540001,65.269997,43.069981,14715500
2012-01-23,65.230003,65.330002,64.879997,65.000000,42.891808,10125000
2012-01-24,64.339996,65.449997,64.339996,65.000000,42.891808,12367900
2012-01-25,64.830002,65.300003,64.760002,65.220001,43.037006,10531400
2012-01-26,65.529999,65.879997,65.220001,65.699997,43.353722,12546100
2012-01-27,65.620003,65.870003,65.459999,65.559998,43.261341,10466300
2012-01-30,65.330002,65.709999,65.129997,65.709999,43.360310,7482100
2012-01-31,65.860001,65.949997,65.559998,65.910004,43.492310,13562900
2012-02-01,65.970001,66.320000,65.650002,65.690002,43.347141,12275900
2012-02-02,65.940002,65.970001,65.349998,65.589996,43.281139,8282400
2012-02-03,65.900002,66.019997,65.529999,65.639999,43.314133,9036200
2012-02-06,65.459999,65.580002,65.050003,65.190002,43.017197,9535700
2012-02-07,65.160004,65.389999,65.019997,65.260002,43.063370,9248100
2012-02-08,65.199997,65.349998,65.089996,65.239998,43.050182,6889400
2012-02-09,65.160004,65.349998,64.820000,64.889999,42.819221,10936200
2012-02-10,64.709999,64.769997,64.250000,64.599998,42.627857,13954200
2012-02-13,64.900002,64.949997,64.599998,64.680000,42.680656,9662500
2012-02-14,64.750000,64.860001,64.330002,64.610001,42.634460,8978500
2012-02-15,64.510002,64.949997,64.470001,64.650002,42.660851,9023400
2012-02-16,64.599998,65.160004,64.440002,64.919998,42.839020,8194500
2012-02-17,65.220001,65.279999,64.809998,64.989998,42.885220,9057500
2012-02-21,65.230003,65.239998,64.750000,65.040001,42.918209,8081700
2012-02-22,65.080002,65.339996,64.870003,65.000000,42.891808,8150600
2012-02-23,65.190002,66.050003,64.900002,65.099998,42.957806,8991500
2012-02-24,64.790001,64.790001,64.190002,64.459999,42.911205,10478200
2012-02-27,64.260002,64.639999,64.019997,64.449997,42.904552,8523000
2012-02-28,64.599998,65.419998,64.500000,65.180000,43.390514,11581400
2012-02-29,65.220001,65.260002,64.709999,65.080002,43.323936,11489100
2012-03-01,65.110001,65.260002,64.639999,64.830002,43.157516,8813800
2012-03-02,64.739998,64.870003,64.570000,64.769997,43.117573,6063900
2012-03-05,64.690002,64.959999,64.540001,64.910004,43.210770,7601000
2012-03-06,64.459999,64.730003,64.190002,64.349998,42.837967,9511100
2012-03-07,64.269997,64.459999,64.120003,64.300003,42.804684,8591800
2012-03-08,64.949997,65.080002,64.739998,64.849998,43.170826,11311100
2012-03-09,64.830002,65.000000,64.589996,64.739998,43.097591,8410600
2012-03-12,64.550003,65.150002,64.540001,65.099998,43.337257,7284700
2012-03-13,65.419998,65.440002,65.029999,65.330002,43.490376,9884100
2012-03-14,65.209999,65.379997,65.019997,65.080002,43.323936,9612200
2012-03-15,64.930000,65.379997,64.849998,65.070000,43.317276,11372900
2012-03-16,65.199997,65.459999,64.809998,65.120003,43.350578,17707000
2012-03-19,64.949997,65.269997,64.900002,65.209999,43.410484,7321800
2012-03-20,65.000000,65.129997,64.760002,64.959999,43.244068,7760400
2012-03-21,64.959999,65.070000,64.639999,64.760002,43.110920,7839600
2012-03-22,64.680000,64.690002,64.400002,64.459999,42.911205,10621300
2012-03-23,64.489998,64.709999,64.370003,64.550003,42.971127,8062500
2012-03-26,64.889999,65.260002,64.830002,65.169998,43.383854,8503800
2012-03-27,65.330002,65.500000,65.220001,65.400002,43.536972,10723800
2012-03-28,65.400002,65.620003,65.180000,65.620003,43.683414,10305500
2012-03-29,65.279999,65.540001,65.199997,65.540001,43.630157,9553300
2012-03-30,65.629997,66.180000,65.580002,65.959999,43.909756,11307700
2012-04-02,66.040001,66.300003,65.820000,66.209999,44.076183,8785900
2012-04-03,66.120003,66.150002,65.500000,65.879997,43.856495,9128400
