date,open,high,low,close,adj_close,volume
2012-01-03,16.339840,16.720470,16.325577,16.651901,16.494940,146912940
2012-01-04,16.642391,16.773024,16.532032,16.723724,16.566088,114445440
2012-01-05,16.569820,16.615866,16.422173,16.491741,16.336292,131184684
2012-01-06,16.495245,16.516518,16.261011,16.266768,16.113434,107608284
2012-01-09,16.178679,16.191191,15.546296,15.577077,15.430246,232671096
2012-01-10,15.759510,15.860861,15.438188,15.594094,15.447104,175648176
2012-01-11,15.603103,15.750501,15.543544,15.664665,15.517012,95904000
2012-01-12,15.796296,15.838088,15.678178,15.756757,15.608233,74932992
2012-01-13,15.672172,15.689439,15.542042,15.640390,15.492963,92199708
2012-01-17,15.815315,15.815315,15.657658,15.730230,15.581957,76295628
2012-01-18,15.681431,15.865866,15.568569,15.838589,15.689295,110357532
2012-01-19,16.040791,16.040791,15.802302,16.005255,15.854390,251959788
2012-01-20,14.778028,14.789790,14.557057,14.664414,14.526189,422628948
2012-01-23,14.664665,14.731231,14.593594,14.652653,14.514537,136379484
2012-01-24,14.672673,14.706707,14.464464,14.537788,14.400755,122109768
2012-01-25,14.452202,14.482232,14.173674,14.251502,14.117167,199308492
2012-01-26,14.313814,14.376376,14.127878,14.216717,14.082711,128918952
2012-01-27,14.283784,14.522523,14.247497,14.514014,14.377205,144555300
2012-01-30,14.465716,14.514515,14.349349,14.456707,14.320438,93126780
2012-01-31,14.589590,14.614615,14.393143,14.517267,14.380426,85610304
2012-02-01,14.638138,14.652152,14.492993,14.535285,14.398275,92735172
2012-02-02,14.636386,14.674925,14.566567,14.642392,14.504373,96491412
2012-02-03,14.781281,14.941692,14.715966,14.923173,14.782506,126613260
2012-02-06,14.890140,15.286036,14.865115,15.242492,15.098816,147036816
2012-02-07,15.193944,15.250000,15.109109,15.184434,15.041306,83600316
2012-02-08,15.231231,15.299049,15.133634,15.261512,15.117657,73382544
2012-02-09,15.315816,15.377878,15.240240,15.301802,15.157566,90497412
2012-02-10,15.212212,15.218468,15.115115,15.162913,15.019986,92914992
