date,open,high,low,close,adj_close,volume
2012-01-03,52.094662,52.735477,52.047543,52.377377,38.462059,4892728
2012-01-04,52.292561,52.433918,51.972153,52.330257,38.427460,3884640
2012-01-05,52.122932,52.565849,51.576351,52.386799,38.468975,3050474
2012-01-06,52.509308,52.509308,51.868488,52.000423,38.185265,4064186
2012-01-09,52.292561,52.537579,51.811947,52.433918,38.503578,2749427
2012-01-10,52.999344,53.715553,52.876835,53.319752,39.154076,5849245
2012-01-11,53.018192,53.395142,52.829716,53.206669,39.071033,3718465
2012-01-12,53.489380,54.026535,53.216091,53.894604,39.576214,3181526
2012-01-13,53.479958,53.555347,52.942802,53.432838,39.237133,2611372
2012-01-17,54.026535,54.375217,53.753246,53.866333,39.555439,3282334
2012-01-18,53.856907,54.893524,53.753246,54.836983,40.268219,4216567
2012-01-19,54.874676,55.185661,54.563690,55.129120,40.482758,4241079
2012-01-20,55.063152,55.063152,53.508228,54.073654,39.707691,6767347
2012-01-23,54.139622,55.034882,54.007690,54.299828,39.873772,3582745
2012-01-24,53.885181,54.356369,53.706127,54.309250,39.880707,2809806
2012-01-25,54.007690,54.959492,53.244362,54.761593,40.212852,3900239
2012-01-26,55.411831,55.515495,54.186741,54.497726,40.019115,4851344
2012-01-27,53.828636,55.327019,53.545921,54.912373,40.323570,6481157
2012-01-30,54.610809,54.921795,54.186741,54.827557,40.261284,3944489
2012-01-31,55.025455,55.195084,54.290401,54.695625,40.164425,3657555
2012-02-01,55.261051,55.920715,55.261051,55.543766,40.787220,3672836
2012-02-02,55.543766,55.817055,55.166813,55.628578,40.849510,3430789
2012-02-03,56.194008,57.287167,56.071499,57.240047,42.032856,5998442
2012-02-06,56.599228,57.032722,56.542686,56.834824,41.735283,4132418
2012-02-07,56.523838,56.834824,56.080921,56.693466,41.631477,3061192
2012-02-08,56.608650,56.787704,56.175159,56.420177,41.430801,3450738
2012-02-09,56.420177,56.627499,56.222279,56.439026,41.444645,3381339
2012-02-10,55.996105,56.005531,55.374138,55.911293,41.057125,3880396
2012-02-13,56.363632,56.806553,55.930141,56.674618,41.617653,2901277
2012-02-14,56.391907,56.627499,55.892445,56.391907,41.410049,2337172
2012-02-15,56.646347,56.646347,55.421257,55.600307,40.828762,3296448
2012-02-16,55.600307,56.137463,55.562614,56.043224,41.153996,2386834
2012-02-17,56.420177,56.787704,56.325939,56.636925,41.589977,3363300
2012-02-21,56.995026,57.098690,56.241123,56.439026,41.444645,2369537
2012-02-22,55.986683,56.373058,55.760513,56.080921,41.181671,2683848
2012-02-23,55.581459,55.835903,54.968914,55.600307,41.086269,3872119
2012-02-24,55.600307,56.231701,55.468376,55.854752,41.274300,2736906
2012-02-27,55.364712,56.448448,55.317593,56.259972,41.573734,3734170
2012-02-28,56.278820,56.665195,56.099770,56.307091,41.608562,3234052
2012-02-29,56.288242,56.731159,56.099770,56.137463,41.483204,4817918
2012-03-01,55.930141,56.721737,55.883022,56.655769,41.866211,4245642
2012-03-02,56.646347,56.750008,56.184582,56.307091,41.608562,2899049
2012-03-05,56.354210,56.467297,55.619156,55.694546,41.155922,3641744
2012-03-06,55.006611,55.157391,54.233860,54.441181,40.229725,5287899
2012-03-07,54.328098,54.620235,54.007690,54.412910,40.208832,6182020
2012-03-08,55.449528,56.175159,54.997185,56.062073,41.427490,4378816
2012-03-09,56.354210,56.702888,55.948990,56.335361,41.629456,3454452
2012-03-12,56.363632,56.467297,55.732243,55.845325,41.267342,3937061
2012-03-13,56.269398,56.966755,55.958412,56.891365,42.040318,4718594
2012-03-14,56.919636,57.475639,56.844246,57.032722,42.144779,3458484
2012-03-15,57.042145,57.400249,56.750008,57.343708,42.374580,2853738
2012-03-16,57.287167,57.324860,56.750008,56.891365,42.040318,5409294
2012-03-19,56.768856,57.296589,56.665195,56.976181,42.102970,2414848
2012-03-20,56.627499,56.627499,55.911293,56.052650,41.420540,3413598
2012-03-21,55.977261,56.363632,55.807632,56.043224,41.413574,4013676
2012-03-22,55.609734,56.373058,55.016033,56.307091,41.608562,5641472
2012-03-23,56.401329,56.759434,55.920715,56.693466,41.894062,4353242
2012-03-26,57.296589,58.286083,57.258892,58.220119,43.022202,5271875
2012-03-27,58.286083,58.427441,57.758354,57.767776,42.687935,3107245
2012-03-28,57.645267,57.767776,56.759434,57.249470,42.304928,2903506
2012-03-29,56.665195,57.324860,56.363632,57.202351,42.270100,2894486
2012-03-30,57.701813,57.862015,57.334282,57.532185,42.513840,2848857
2012-04-02,57.079842,57.852592,56.891365,57.598148,42.562592,3193729
2012-04-03,57.400249,57.786625,56.891365,57.136383,42.221363,2706663
2012-04-04,56.646347,56.759434,56.344788,56.684044,41.887108,3073819
2012-04-05,56.391907,56.552109,56.052650,56.062073,41.427490,3113082
2012-04-09,55.336441,55.619156,54.535419,54.554268,40.313290,4919894
2012-04-10,54.328098,54.460030,53.310329,53.319752,39.401043,7289219
2012-04-11,53.979416,54.309250,53.564770,53.790943,39.749229,5277818
2012-04-12,53.904026,55.487221,53.800365,55.402409,40.940025,4947059
2012-04-13,55.223358,55.270473,54.648506,54.723896,40.438644,2886846
2012-04-16,55.204510,55.308170,54.516575,54.657928,40.389893,3523002
2012-04-17,55.157391,55.741665,54.629658,55.534340,41.037525,5433594
2012-04-18,55.223358,55.562614,54.978336,55.345867,40.898243,3820229
2012-04-19,55.279900,55.524918,54.299828,54.657928,40.389893,4821950
2012-04-20,56.410751,57.013874,55.939564,55.967834,41.357872,8942695
2012-04-23,55.600307,55.835903,55.166813,55.788784,41.225552,4924032
2012-04-24,56.090343,56.778278,55.845325,56.476719,41.733898,4058774
2012-04-25,56.985603,57.334282,56.712315,56.995026,42.116920,3660951
2012-04-26,56.891365,57.635845,56.797127,57.485065,42.479019,3276816
2012-04-27,57.730083,57.909134,57.447369,57.758354,42.680981,4197360
2012-04-30,57.541607,57.682964,56.863094,57.164654,42.242256,3558338
2012-05-01,56.995026,57.927982,56.731159,57.419098,42.430286,3103744
2012-05-02,56.976181,57.221199,56.561535,57.145809,42.228329,4313025
2012-05-03,57.136383,57.371979,56.599228,56.985603,42.109955,3550061
2012-05-04,56.684044,56.750008,55.798206,55.892445,41.302132,2807047
2012-05-07,55.732243,56.194008,55.609734,56.090343,41.448387,2890772
2012-05-08,55.722816,56.052650,55.204510,55.948990,41.343933,3259944
2012-05-09,55.204510,55.656849,54.808708,55.006611,40.647568,4218371
2012-05-10,55.458950,55.694546,54.997185,55.195084,40.786842,2866472
2012-05-11,54.865253,55.788784,54.742744,55.176239,40.772915,3117114
2012-05-14,54.620235,55.213932,54.186741,54.799286,40.494350,3933241
2012-05-15,54.714474,55.176239,54.045383,54.167892,40.027790,3212935
2012-05-16,54.271557,54.714474,53.800365,53.847485,40.050919,4089654
2012-05-17,53.781517,53.969994,52.236019,52.283138,38.887363,5071319
2012-05-18,52.565849,52.754326,51.811947,52.047543,38.712139,5248955
2012-05-21,52.132355,53.819214,52.132355,53.743824,39.973812,4830439
2012-05-22,54.035961,54.375217,53.640160,53.979416,40.149036,4209457
2012-05-23,53.291481,54.394066,52.848564,54.299828,40.387360,4227921
2012-05-24,54.412910,54.544846,53.272633,53.969994,40.142025,3069150
2012-05-25,54.101929,54.243282,53.197243,53.479958,39.777565,2505894
2012-05-29,54.007690,54.111351,53.536499,53.904026,40.092960,3956692
2012-05-30,53.451687,53.451687,52.867413,52.961651,39.392036,3744675
2012-05-31,52.961651,52.999344,51.623470,52.452766,39.013535,5410037
2012-06-01,51.086315,51.387878,50.699944,50.831875,37.807945,6345648
2012-06-04,50.662247,50.747063,49.521969,50.134514,37.289257,6083333
2012-06-05,49.946037,50.426651,49.766987,50.219330,37.352341,4089866
2012-06-06,50.690517,51.510387,50.436077,51.510387,38.312626,5062405
2012-06-07,52.122932,52.989922,52.028694,52.179474,38.810272,5177752
2012-06-08,52.179474,52.801445,52.000423,52.763748,39.244843,3181101
2012-06-11,53.404568,53.423412,51.877914,51.953304,38.642040,3241056
2012-06-12,52.170052,52.857986,51.868488,52.820293,39.286907,2940646
2012-06-13,52.547005,52.612968,51.680016,51.943882,38.635040,3184815
2012-06-14,52.198322,52.594124,51.585777,52.038120,38.705135,4541277
2012-06-15,52.330257,52.820293,52.254868,52.810867,39.279892,5295963
2012-06-18,52.528156,52.848564,52.311409,52.660088,39.167755,2384181
2012-06-19,52.971073,53.451687,52.857986,53.319752,39.658382,3379111
2012-06-20,53.404568,53.564770,52.801445,53.282059,39.630363,3678354
2012-06-21,53.527077,53.706127,52.198322,52.236019,38.852325,4354409
2012-06-22,52.141781,52.518730,51.934456,52.311409,38.908394,3619566
2012-06-25,51.614048,51.670589,50.577431,50.624550,37.653732,4967751
2012-06-26,50.718788,50.831875,49.795258,50.191055,37.331314,5278242
2012-06-27,50.322990,51.010925,50.304142,50.888416,37.850002,3480662
2012-06-28,50.049702,50.520889,49.201561,49.870647,37.093002,6989339
2012-06-29,51.246521,52.641239,50.907265,52.622395,39.139717,5168520
2012-07-02,52.716633,52.952225,51.482117,51.981575,38.663074,4557725
2012-07-03,51.802525,52.716633,51.566929,52.386799,38.964474,2556405
2012-07-05,52.207748,53.131275,52.113510,52.857986,39.314941,2942450
2012-07-06,52.113510,52.198322,51.189980,51.727135,38.473827,3212829
2012-07-09,51.585777,52.104084,51.246521,52.028694,38.698124,3039863
2012-07-10,52.141781,52.933376,50.370110,50.615128,37.646725,5693256
2012-07-11,50.633976,51.199402,50.407803,50.605705,37.639732,4020679
2012-07-12,50.238174,50.860146,49.691597,50.511467,37.569645,3976005
2012-07-13,50.568008,51.557507,50.511467,51.434998,38.256538,3413492
2012-07-16,51.237099,51.491539,50.511467,51.340759,38.186447,3081460
2012-07-17,51.472691,51.764828,50.756485,51.397301,38.228512,3660527
2012-07-18,53.065311,55.119694,52.678936,54.827557,40.779877,8906086
2012-07-19,54.893524,55.242203,54.149044,54.610809,40.618660,6188705
2012-07-20,54.412910,55.034882,54.054810,54.412910,40.471462,3781179
2012-07-23,53.489380,54.384640,53.197243,54.130199,40.261196,3743614
2012-07-24,54.101929,54.224438,52.707207,53.413990,39.728493,3569692
2012-07-25,53.687279,54.328098,53.084160,53.527077,39.812595,3181632
2012-07-26,54.516575,55.289322,54.073654,54.412910,40.471462,3267266
2012-07-27,54.855827,56.090343,54.488300,55.609734,41.361645,3819168
2012-07-30,55.411831,55.901871,54.818134,55.025455,40.927074,3317670
2012-07-31,54.799286,55.223358,54.667355,54.705048,40.688747,3144598
2012-08-01,55.034882,55.261051,54.441181,54.657928,40.653702,3812801
2012-08-02,54.280979,54.337521,53.432838,54.017113,40.177071,3384098
2012-08-03,55.082001,55.732243,55.034882,55.515495,41.291553,2933005
2012-08-06,55.873596,56.071499,55.261051,55.261051,41.102295,2181821
2012-08-07,55.600307,56.024380,55.129120,55.195084,41.053223,4152473
2012-08-08,54.921795,55.703968,54.818134,55.534340,41.305573,2917619
2012-08-09,55.440102,55.798206,55.251629,55.572037,41.333611,2009915
2012-08-10,55.317593,55.628578,55.072575,55.609734,41.361645,1936166
2012-08-13,55.317593,55.609734,54.968914,55.327019,41.151363,1846817
2012-08-14,55.477798,55.562614,54.818134,55.063152,40.955109,2042280
2012-08-15,55.034882,55.242203,54.846405,55.100845,40.983143,1809146
2012-08-16,54.761593,55.609734,54.705048,55.374138,41.450836,2819993
2012-08-17,55.572037,56.128040,55.223358,56.071499,41.972858,3611183
2012-08-20,55.930141,56.194008,55.835903,56.071499,41.972858,2370705
2012-08-21,56.259972,56.523838,55.524918,55.703968,41.697739,2612009
2012-08-22,55.685123,55.760513,55.223358,55.487221,41.535484,2313615
2012-08-23,55.279900,55.440102,54.931217,55.110271,41.253323,1886928
2012-08-24,54.846405,55.166813,54.337521,54.997185,41.168671,3280106
2012-08-27,55.119694,55.374138,54.733318,55.025455,41.189842,1905286
2012-08-28,54.865253,55.392986,54.761593,55.185661,41.309761,3402562
2012-08-29,55.374138,55.383560,54.884102,55.345867,41.429688,2121866
2012-08-30,54.893524,55.119694,54.620235,54.761593,40.992325,2315100
2012-08-31,55.195084,55.440102,54.808708,55.082001,41.232151,2909660
2012-09-04,55.110271,55.129120,53.866333,54.205589,40.576103,2996037
2012-09-05,54.186741,54.469456,53.932301,54.064232,40.470291,2421639
2012-09-06,54.535419,55.845325,54.535419,55.619156,41.634247,3723346
2012-09-07,55.817055,56.467297,55.760513,56.448448,42.255028,3122101
2012-09-10,56.325939,56.410751,56.043224,56.128040,42.015186,3229383
2012-09-11,56.278820,56.702888,56.052650,56.344788,42.177433,3265144
2012-09-12,56.439026,56.806553,56.203430,56.636925,42.396118,2736906
2012-09-13,56.401329,57.720657,56.005531,57.598148,43.115650,4089866
2012-09-14,57.560455,58.380322,57.202351,57.503914,43.045101,4744699
2012-09-17,57.268318,58.201271,57.221199,58.163574,43.538918,3871058
2012-09-18,58.078762,58.238968,57.419098,57.852592,43.306122,3465700
2012-09-19,57.767776,57.975101,57.419098,57.748932,43.228512,3294007
2012-09-20,57.249470,57.437946,56.778278,57.060993,42.713551,3630496
2012-09-21,57.437946,57.635845,57.013874,57.032722,42.692402,5531113
2012-09-24,56.684044,56.853672,56.165733,56.665195,42.417271,2426627
2012-09-25,56.768856,57.013874,55.873596,55.892445,41.838825,3093769
2012-09-26,55.986683,56.222279,55.261051,56.014954,41.930527,4076283
2012-09-27,56.448448,57.004452,56.250549,56.768856,42.494869,3185770
2012-09-28,56.391907,56.684044,55.901871,56.307091,42.149208,3237236
2012-10-01,56.891365,57.767776,56.636925,57.296589,42.889900,4824921
2012-10-02,57.682964,58.012794,57.381401,57.909134,43.348438,4688564
2012-10-03,57.927982,58.173000,57.381401,57.447369,43.002785,5001602
2012-10-04,57.871441,58.116459,57.616997,57.739506,43.221462,3018215
2012-10-05,58.144730,58.361477,57.692387,57.890285,43.334339,3761229
2012-10-08,57.522758,57.880863,57.145809,57.748932,43.228512,2889074
2012-10-09,57.777203,57.824322,57.023300,57.183502,42.805248,3304937
2012-10-10,57.098690,57.268318,56.702888,56.768856,42.494869,3576590
2012-10-11,57.202351,57.466217,56.815975,56.815975,42.530144,2902657
2012-10-12,57.089264,57.541607,56.589806,56.731159,42.466652,2669735
2012-10-15,56.891365,57.409676,56.702888,57.343708,42.925182,2372508
2012-10-16,57.673538,58.050491,57.513336,57.975101,43.397808,2275308
2012-10-17,57.645267,58.380322,57.645267,58.323780,43.658825,3192668
2012-10-18,58.238968,58.304932,57.409676,57.880863,43.327271,6007567
2012-10-19,57.296589,59.822163,57.296589,58.889206,44.082088,10448991
2012-10-22,58.559376,59.822163,58.069340,58.691307,43.933949,5810301
2012-10-23,57.946831,58.135303,57.466217,58.003372,43.418972,3590491
2012-10-24,57.927982,58.201271,57.334282,57.503914,43.045101,3737460
2012-10-25,58.672459,58.681885,57.560455,57.890285,43.334339,3212087
2012-10-26,57.852592,58.276661,57.513336,57.946831,43.376667,3424422
2012-10-31,58.173000,58.361477,57.353130,57.711235,43.200291,3798157
2012-11-01,57.730083,59.398090,57.730083,59.021141,44.180840,5961726
2012-11-02,59.416939,59.539448,58.672459,58.832664,44.039757,3977809
2012-11-05,58.766697,59.341549,58.597069,59.181347,44.300766,2492206
2012-11-06,59.124802,60.208538,59.124802,59.869282,44.815731,4279492
2012-11-07,59.124802,59.285007,58.163574,58.540527,43.821072,3631239
2012-11-08,58.474560,58.889206,57.758354,57.767776,43.242630,3357463
2012-11-09,57.409676,57.984524,57.136383,57.324860,42.911064,5205342
2012-11-12,57.428520,58.107033,57.296589,57.899712,43.341389,3118600
2012-11-13,57.494488,58.418018,57.485065,57.711235,43.200291,2698598
2012-11-14,57.767776,57.946831,56.382481,56.504990,42.297348,4081164
2012-11-15,56.457870,56.844246,55.647427,55.911293,41.852940,5773160
2012-11-16,55.675697,55.883022,54.931217,55.741665,42.016308,5066332
2012-11-19,56.373058,57.004452,56.278820,56.957333,42.932644,3885808
2012-11-20,56.825397,57.306011,56.655769,57.117535,43.053394,3204871
2012-11-21,57.108112,57.315437,56.881943,57.098690,43.039185,1858171
2012-11-23,57.268318,57.730083,57.202351,57.730083,43.515129,966279
2012-11-26,57.108112,57.371979,56.750008,57.164654,43.088917,2528285
2012-11-27,57.155231,57.654694,57.051571,57.126961,43.060501,3256867
2012-11-28,56.778278,57.758354,56.401329,57.711235,43.500904,3217286
2012-11-29,57.909134,58.154152,57.371979,57.805473,43.571938,2380043
2012-11-30,57.880863,57.956253,57.541607,57.796047,43.564835,3740643
2012-12-03,58.012794,58.144730,57.060993,57.098690,43.039185,2757704
